CustomerID,TotalOrders,TotalQuantity,TotalSpent,Recency,Cluster,Segment
12346.0,1,74215,77183.6,325,3,At Risk Customers
12347.0,7,2458,4310.0,1,0,Premium Customers
12348.0,4,2341,1797.24,74,0,Premium Customers
12349.0,1,631,1757.55,18,0,Premium Customers
12350.0,1,197,334.4,309,1,Regular Customers
12352.0,8,536,2506.04,35,0,Premium Customers
12353.0,1,20,89.0,203,1,Regular Customers
12354.0,1,530,1079.4,231,1,Regular Customers
12355.0,1,240,459.4,213,1,Regular Customers
12356.0,3,1591,2811.43,22,0,Premium Customers
12357.0,1,2708,6207.67,32,0,Premium Customers
12358.0,2,248,1168.06,1,0,Premium Customers
12359.0,4,1622,6372.58,57,0,Premium Customers
12360.0,3,1165,2662.06,51,0,Premium Customers
12361.0,1,91,189.9,286,1,Regular Customers
12362.0,10,2229,5226.23,2,0,Premium Customers
12363.0,2,408,552.0,109,0,Premium Customers
12364.0,4,1506,1313.1,7,0,Premium Customers
12365.0,2,174,641.38,290,1,Regular Customers
12367.0,1,173,168.9,3,0,Premium Customers
12370.0,4,2353,3545.69,50,0,Premium Customers
12371.0,2,591,1887.96,44,0,Premium Customers
12372.0,3,794,1298.04,71,0,Premium Customers
12373.0,1,197,364.6,310,1,Regular Customers
12374.0,1,342,742.9300000000001,24,0,Premium Customers
12375.0,2,178,457.5,10,0,Premium Customers
12377.0,2,944,1628.12,314,1,Regular Customers
12378.0,1,2529,4008.62,129,0,Premium Customers
12379.0,2,407,852.24,81,0,Premium Customers
12380.0,4,1127,2724.81,21,0,Premium Customers
12381.0,5,808,1845.31,4,0,Premium Customers
12383.0,5,1532,1850.56,184,1,Regular Customers
12384.0,2,126,585.27,28,0,Premium Customers
12386.0,2,354,401.9,337,1,Regular Customers
12388.0,6,1462,2780.66,15,0,Premium Customers
12390.0,1,353,549.84,79,0,Premium Customers
12391.0,1,300,460.89,21,0,Premium Customers
12393.0,4,816,1582.6000000000001,71,0,Premium Customers
12394.0,2,819,1272.48,63,0,Premium Customers
12395.0,12,2118,3018.63,18,0,Premium Customers
12397.0,2,1263,2409.9,35,0,Premium Customers
12398.0,1,1394,1635.6599999999999,45,0,Premium Customers
12399.0,4,1178,1108.65,118,0,Premium Customers
12401.0,1,11,84.3,302,1,Regular Customers
12402.0,1,94,225.6,322,1,Regular Customers
12403.0,1,96,427.7,49,0,Premium Customers
12405.0,1,857,1710.39,148,1,Regular Customers
12406.0,2,1818,3415.3,21,0,Premium Customers
12407.0,5,1416,1708.1200000000001,49,0,Premium Customers
12408.0,5,1409,2888.55,32,0,Premium Customers
12409.0,3,5551,11072.67,78,0,Premium Customers
12410.0,2,211,693.3299999999999,308,1,Regular Customers
12412.0,3,829,1226.88,74,0,Premium Customers
12413.0,3,286,758.1,66,0,Premium Customers
12414.0,3,300,562.41,216,1,Regular Customers
12415.0,21,77374,124914.53,23,2,Occasional Customers
12417.0,9,1552,3649.1,2,0,Premium Customers
12418.0,1,407,668.58,112,0,Premium Customers
12420.0,1,345,600.39,63,0,Premium Customers
12421.0,4,484,807.04,15,0,Premium Customers
12422.0,3,370,803.5600000000001,95,0,Premium Customers
12423.0,8,1339,1859.31,0,0,Premium Customers
12424.0,2,740,1760.96,162,1,Regular Customers
12425.0,1,496,777.2,77,0,Premium Customers
12426.0,1,258,582.73,194,1,Regular Customers
12427.0,3,533,825.8,21,0,Premium Customers
12428.0,9,3536,7956.46,25,0,Premium Customers
12429.0,4,1557,3750.4,8,0,Premium Customers
12430.0,1,117,256.4,42,0,Premium Customers
12431.0,15,2906,6487.45,35,3,At Risk Customers
12432.0,5,1801,5059.32,42,0,Premium Customers
12433.0,7,11071,13375.87,0,0,Premium Customers
12434.0,2,394,806.14,84,0,Premium Customers
12435.0,2,2055,7829.89,79,0,Premium Customers
12436.0,1,211,509.01,99,0,Premium Customers
12437.0,18,2922,4951.41,1,3,At Risk Customers
12438.0,2,1180,2906.85,13,0,Premium Customers
12441.0,1,121,173.55,366,1,Regular Customers
12442.0,1,182,172.06,2,0,Premium Customers
12444.0,5,1153,5005.46,20,0,Premium Customers
12445.0,1,62,133.4,21,0,Premium Customers
12446.0,1,351,1002.3100000000001,57,0,Premium Customers
12447.0,1,190,476.49,242,1,Regular Customers
12448.0,1,243,449.45,43,0,Premium Customers
12449.0,4,1553,4067.29,21,0,Premium Customers
12450.0,2,128,197.88,155,1,Regular Customers
12451.0,5,6575,9035.52,10,0,Premium Customers
12452.0,2,185,430.57,16,0,Premium Customers
12453.0,1,473,707.09,133,0,Premium Customers
12454.0,1,1006,3528.34,55,0,Premium Customers
12455.0,6,2089,2466.86,72,0,Premium Customers
12456.0,3,1633,3181.04,43,0,Premium Customers
12457.0,7,843,2363.23,65,0,Premium Customers
12458.0,2,506,947.4,70,0,Premium Customers
12461.0,2,287,826.88,93,0,Premium Customers
12462.0,2,536,1189.59,18,0,Premium Customers
12463.0,4,776,1344.78,52,0,Premium Customers
12464.0,8,112,1212.05,9,0,Premium Customers
12465.0,2,479,742.1899999999999,16,0,Premium Customers
12468.0,2,366,729.5400000000001,187,1,Regular Customers
12471.0,30,8212,19824.05,1,3,At Risk Customers
12472.0,7,4148,6572.11,31,0,Premium Customers
12473.0,5,2439,3938.5499999999997,28,0,Premium Customers
